	SCOC CPN 01	SCOC CPN 03	SCOC CPN 04	SCOC CPN 05	SCOC CPN 06	SCOC CPN 07	SCOC CPN 09	SCOC CPN 10	SCOC CPN 11	SCOC CPN 12	SCOC CPN 13	SCOC CPN 14	SCOC CPN 15	SCOC CPN 16	SCOC CPN 17	SCOC CPN 18	SCOC CPN 19	SCOC CPN 20	SCOC CPN 21	SCOC CPN 22	SCOC CPN 23	SCOC CPN 24	SCOC CPN 25	SCOC CPN 26	SCOC CPN 27	SCOC CPN 28	SCOC CPN 29	SCOC CPN 30	SCOC CPN 31	SCOC CPN 32	SCOC CPN 33	SCOC CPN 34	SCOC CPN 35	SCOC CPN 36	SCOC CPN 39	SCOC CPN 40	SCOC CPN 43	SCOC CPN 44	SCOC CPN 45	SCOC CPN 46	SCOC CPN 47	SCOC CPN 48	SCOC CPN 49	SCOC CPN 50	SCOC CPN 51	SCOC CPN 52	SCOC CPN 53	SCOC CPN 60	SCOC CPN 61	SCOC CPN 63	SCOC CPN 64	SCOC CPN 65	SCOC CPN 66	SCOC CPN 67	SCOC CPN 68	SCOC CPN 69	SCOC CPN 71	SCOC CPN 72	SCOC CPN 74	SCOC CPN 75	SCOC CPN 76	SCOC CPN 77	SCOC CPN 78	SCOC CPN 80	SCOC CPN 81	SCOC CPN 83
SCOC CPN 68	0.153485	-0.073814	0.039835	0.181897	0.039835	0.125072	0.039835	0.181897	0.068248	0.181897	-0.01699	0.039835	0.039835	0.09666	0.181897	-0.01699	0.238722	-0.130639	0.068248	-0.01699	0.125072	0.181897	0.125072	0.125072	0.09666	0.011423	0.181897	0.125072	0.21031	0.011423	0.114006	0.039835	-0.102227	-0.070196	0.125072	0.21031	0.09666	0.068248	0.125072	0.125072	0.068248	0.153485	0.09666	0.068248	0.157116	-0.001627	-0.045402	-0.039496	0.039835	-0.073814	-0.045402	0.125072	0.125072	0.209292												
SCOC CPN 69	0.011423	0.153485	0.039835	0.068248	-0.073814	0.068248	0.21031	0.068248	0.068248	0.068248	0.011423	-0.045402	0.011423	0.011423	0.21031	0.039835	0.181897	-0.01699	-0.01699	-0.01699	0.21031	0.039835	0.181897	-0.045402	0.125072	-0.01699	0.068248	0.125072	0.125072	0.011423	0.052605	0.181897	0.011423	0.021905	0.039835	0.238722	0.125072	0.125072	0.153485	0.09666	0.181897	0.153485	-0.01699	0.068248	0.125825	0.075046	0.011423	-0.070196	0.21031	0.153485	0.181897	0.039835	0.011423	-0.037418	0.039835											
SCOC CPN 71	0.181897	0.125072	0.125072	0.181897	0.068248	0.153485	0.238722	0.153485	0.21031	0.238722	0.125072	0.181897	0.011423	0.238722	0.153485	0.068248	0.267134	-0.102227	0.153485	-0.045402	0.068248	0.125072	0.125072	0.09666	0.153485	0.039835	0.125072	0.068248	0.352372	0.011423	0.175407	0.125072	0.011423	0.144706	0.125072	0.352372	0.21031	0.125072	0.153485	0.125072	0.181897	0.238722	0.068248	0.153485	0.157116	0.075046	0.068248	0.114006	0.09666	0.125072	0.039835	0.125072	0.181897	0.301809	-0.073814	0.039835										
SCOC CPN 72	-0.01699	0.039835	0.068248	0.068248	-0.073814	0.125072	0.09666	-0.01699	0.125072	0.09666	0.125072	-0.045402	-0.01699	0.039835	0.125072	0.125072	0.153485	-0.045402	0.181897	0.039835	-0.01699	0.068248	-0.01699	0.068248	0.09666	-0.01699	-0.01699	0.068248	0.181897	-0.01699	0.114006	0.039835	-0.073814	-0.008795	-0.045402	0.21031	0.068248	0.011423	0.068248	0.011423	0.068248	0.068248	-0.130639	0.011423	0.063242	0.151719	-0.01699	0.083306	0.09666	0.039835	0.09666	0.068248	0.039835	-0.006579	0.125072	-0.01699	-0.01699									
SCOC CPN 74	0.059041	0.016038	-0.155975	-0.026965	0.059041	0.059041	0.145048	0.102044	0.145048	0.102044	0.145048	-0.069968	0.102044	0.102044	0.188051	0.059041	0.231054	-0.069968	0.059041	0.059041	-0.026965	0.059041	-0.112972	0.016038	0.102044	0.059041	-0.069968	0.102044	0.059041	-0.069968	-0.069968	0.016038	-0.026965	-0.112972	0.102044	0.188051	0.102044	-0.026965	-0.069968	0.016038	0.102044	0.016038	-0.026965	0.016038	0.016038	-0.198978	-0.026965	0.102044	-0.155975	0.016038	0.059041	0.016038	0.102044	-0.109468	0.059041	0.059041	0.059041	0.016038								
SCOC CPN 75	0.09666	0.068248	0.09666	0.068248	0.068248	0.09666	0.039835	0.068248	0.181897	0.09666	0.153485	0.039835	0.039835	0.153485	0.238722	0.068248	0.153485	0.068248	0.181897	0.153485	0.125072	0.09666	0.181897	0.125072	0.068248	0.039835	0.09666	0.039835	0.21031	0.068248	0.021905	0.09666	-0.01699	-0.100896	0.039835	0.068248	0.09666	-0.01699	0.011423	-0.045402	0.09666	0.153485	0.011423	-0.01699	0.157116	0.075046	0.039835	-0.008795	0.125072	0.068248	0.181897	-0.045402	0.09666	-0.037418	0.125072	-0.01699	0.181897	-0.073814	-0.026965							
SCOC CPN 76	0.09666	0.011423	-0.01699	0.068248	0.039835	0.181897	0.068248	0.125072	0.068248	0.039835	0.125072	-0.045402	-0.01699	-0.073814	0.153485	0.068248	0.068248	-0.073814	0.125072	0.068248	0.09666	0.181897	0.09666	0.153485	0.039835	0.068248	0.068248	0.181897	0.267134	0.09666	0.114006	-0.01699	0.011423	-0.131597	0.011423	0.21031	0.153485	0.068248	0.09666	0.09666	0.09666	0.181897	0.039835	-0.045402	0.125825	0.190055	-0.045402	0.052605	0.125072	0.011423	0.125072	0.011423	0.153485	-0.037418	0.039835	0.011423	0.153485	-0.01699	0.102044	-0.01699						
SCOC CPN 77	0.09666	0.09666	-0.102227	0.153485	0.125072	0.011423	0.09666	0.125072	0.09666	0.125072	0.068248	0.011423	0.039835	0.125072	0.153485	0.068248	0.238722	-0.01699	0.09666	0.039835	-0.130639	0.039835	-0.073814	0.153485	0.068248	0.011423	-0.01699	0.039835	0.153485	0.125072	0.144706	0.011423	-0.045402	0.021905	0.09666	0.267134	0.09666	0.011423	0.039835	0.125072	0.068248	0.039835	0.068248	0.039835	0.031951	0.113382	0.011423	-0.008795	-0.01699	0.09666	-0.01699	0.153485	0.039835	0.024259	0.068248	0.181897	0.039835	-0.01699	0.016038	0.153485	0.068248					
SCOC CPN 78	0.153485	0.011423	0.068248	0.039835	0.068248	0.153485	0.181897	0.125072	0.21031	0.181897	0.09666	0.039835	0.125072	0.153485	0.181897	-0.01699	0.295547	0.039835	0.181897	0.125072	0.125072	0.153485	0.068248	0.153485	0.011423	-0.045402	0.068248	0.181897	0.267134	-0.01699	0.083306	0.153485	-0.073814	-0.008795	0.125072	0.21031	0.068248	0.011423	0.039835	0.125072	0.039835	0.068248	-0.130639	0.181897	0.031951	0.03671	-0.102227	-0.131597	0.09666	0.011423	0.011423	0.181897	0.21031	0.055098	-0.159052	0.068248	0.039835	0.011423	-0.026965	0.039835	0.09666	0.039835				
SCOC CPN 80	0.125072	-0.130639	0.125072	0.125072	0.181897	0.039835	0.068248	0.153485	0.125072	0.181897	0.181897	0.068248	0.09666	0.125072	0.295547	0.068248	0.181897	0.011423	0.238722	0.153485	0.09666	0.153485	0.09666	0.181897	-0.01699	0.039835	0.09666	0.267134	0.267134	0.09666	0.083306	0.039835	-0.102227	-0.008795	0.125072	0.181897	0.153485	0.09666	-0.01699	0.125072	0.09666	0.153485	0.068248	0.125072	0.157116	-0.039963	-0.045402	-0.100896	-0.01699	-0.130639	0.09666	0.153485	0.238722	0.116776	-0.073814	0.09666	0.181897	0.09666	0.016038	0.011423	-0.045402	0.09666	-0.102227			
