	030912SERN	043011TKLE	043011TKLF	043011TKLG	043011TKLH	043011TKLI	043011TKLJ	043011TKLL	061912TKLA	062012TKLA	062112TKLB	062112TKLC	062112TKLD	062112TKLE	062112TKLF	062112TKLG	062911TKLC	062911TKLD	062911TKLE	062911TKLG	062911TKLH	062911TKLI	062911TKLJ	062911TKLK	062911TKLL	063011TKLA	063011TKLB	063011TKLC	063011TKLD	070111TKLA	070111TKLC	070111TKLE	070312SERC	070312SERD	070312SERE	070312SERF	070312SERG	070312SERH	071712TKLA	071712TKLB	071712TKLC	071812TKLA	071812TKLC	071812TKLD	071911TKLB	071911TKLC	071911TKLE	071911TKLG	071912TKLA	071912TKLB	072011TKLB	072011TKLD	072011TKLE	072111TKLB	072211TKLB	072211TKLC	072211TKLD	072211TKLE	080311TKLF	080311TKLG	080411TKLD	CNHY RAJ 30	CNHY RAJ 31	CNHY RAJ 32	CNHY RAJ 33	CNHY RAJ 34	CNHY RAJ 35	CNHY RAJ 36	CNHY RAJ 37	CNHY RAJ 38	CNHY RAJ 39	CNHY RAJ 40	CNHY RAJ 41	CNHY RAJ 43	CNHY RAJ 44	CNHY RAJ 45	CNHY RAJ 46	CNHY RAJ 47	CNHY RAJ 48	CNHY RAJ 49	CNHY RAJ 50	CNHY RAJ 51	CNHY RAJ 52	CNHY RAJ 53	CNHY RAJ 54	CNHY RAJ 55	CNHY RAJ 56	CNHY RAJ 57	CNHY RAJ 58	CNHY RAJ 59	CNHY RAJ 60	CNHY RAJ 61	CNHY RAJ 62	CNHY RAJ 63	CNHY RAJ 64	CNHY RAJ 65	CNHY RAJ 66	CNHY RAJ 67	CNHY RAJ 68	CNHY RAJ 69	CNHY RAJ 70	CNHY RAJ 71	CNHY RAJ 72	CNHY RAJ 73	CNHY RAJ 74	CNHY RAJ 75	CNHY RAJ 76	CNHY RAJ 77
CNHY RAJ 60	0.147999	0.120357	0.042812	0.159129	0.00404	0.159129	0.081585	0.275446	0.197902	0.314219	0.081585	0.159129	0.00404	0.081585	0.042812	-0.098382	-0.014411	0.081585	0.236674	0.039544	0.00404	0.081585	0.430536	-0.034732	0.081585	0.120357	0.042812	0.147453	0.081585	0.159129	0.357586	0.177041	0.120357	0.159129	0.255362	-0.048951	0.081585	0.131905	0.116987	0.120357	0.197902	0.042812	0.081585	0.197902	0.116987	0.275446	0.142589	0.314219	0.197902	-0.158551	-0.068365	0.120357	0.197902	0.236674	0.236674	0.120357	0.197902	0.042812	0.197902	0.120357	0.159129	0.159129	0.093498	0.222912	0.120357	0.081585	0.042812	0.039544	0.177041	0.081585	0.159129	0.042812	0.197902	0.00404	0.197902	0.177041	0.159129	0.275446	0.469308	0.159129	-0.038123	0.081585	0.197902	0.00404	0.120357	0.159129	0.081585	0.159129	0.197902	0.159129																		
CNHY RAJ 61	0.048306	-0.034732	-0.034732	0.042812	-0.073505	-0.034732	-0.034732	0.042812	0.042812	0.081585	-0.034732	-0.073505	-0.073505	0.042812	-0.151049	-0.178706	-0.068365	-0.073505	-0.034732	-0.014411	-0.073505	0.00404	0.236674	-0.034732	-0.189822	-0.112277	-0.112277	-0.014411	-0.073505	-0.073505	-0.003503	-0.048639	-0.073505	-0.073505	-0.014411	-0.048951	0.00404	-0.093776	-0.088675	-0.112277	0.042812	-0.151049	-0.034732	0.00404	0.014156	0.042812	-0.018059	0.081585	-0.073505	-0.044735	0.039544	-0.034732	0.00404	0.042812	0.120357	-0.112277	0.00404	-0.112277	0.081585	-0.073505	-0.073505	0.00404	-0.068365	0.142589	0.042812	-0.034732	-0.034732	-0.068365	0.041633	0.120357	-0.073505	0.00404	0.081585	-0.034732	-0.034732	-0.048639	0.042812	0.197902	0.275446	0.00404	0.02786	-0.034732	0.042812	-0.073505	0.00404	0.120357	-0.112277	-0.034732	-0.073505	0.042812	0.00404																	
CNHY RAJ 62	0.247691	0.081585	0.236674	0.159129	0.197902	0.159129	0.159129	0.120357	0.197902	0.275446	0.197902	0.042812	0.159129	0.081585	0.00404	0.383559	0.309316	0.120357	0.120357	0.255362	0.159129	0.197902	0.314219	0.197902	0.00404	0.081585	0.120357	0.039544	0.159129	0.120357	0.131905	0.131905	0.081585	0.042812	0.093498	0.266783	0.236674	0.267313	0.271234	0.081585	0.081585	0.081585	0.120357	0.197902	0.219819	0.120357	0.383559	0.120357	0.236674	0.638163	0.255362	0.00404	0.197902	0.236674	0.314219	0.120357	0.159129	0.159129	0.236674	0.081585	0.042812	0.197902	0.201407	0.544207	0.236674	0.275446	0.159129	0.093498	0.222177	-0.112277	0.081585	0.120357	0.120357	0.120357	0.081585	0.086769	0.314219	0.042812	0.00404	0.081585	0.357773	0.197902	0.275446	0.159129	0.197902	0.430536	0.081585	0.081585	0.00404	0.275446	0.391764	0.00404																
CNHY RAJ 63	0.048306	0.00404	0.081585	0.081585	0.081585	0.120357	0.00404	0.081585	0.00404	0.120357	0.042812	-0.034732	0.042812	0.081585	-0.034732	-0.098382	0.093498	0.00404	0.120357	0.147453	0.00404	-0.073505	0.159129	0.00404	0.00404	-0.034732	-0.034732	0.039544	0.00404	0.042812	0.086769	0.086769	-0.034732	0.042812	0.039544	-0.048951	0.00404	0.041633	0.065572	0.042812	0.081585	-0.034732	-0.228594	0.00404	0.014156	0.081585	-0.018059	0.00404	-0.073505	0.069081	-0.122319	0.042812	0.042812	0.120357	0.159129	-0.073505	0.159129	0.00404	0.00404	-0.112277	0.081585	-0.151049	0.039544	0.142589	0.120357	0.120357	0.00404	0.093498	0.086769	0.00404	-0.151049	-0.034732	-0.034732	0.00404	0.042812	-0.003503	0.197902	0.314219	0.352991	-0.034732	-0.038123	0.081585	0.081585	-0.073505	0.042812	0.120357	0.042812	0.081585	0.00404	0.197902	0.081585	-0.073505	0.159129															
CNHY RAJ 64	-0.00154	0.120357	0.00404	-0.034732	-0.034732	0.197902	0.081585	0.00404	0.00404	0.081585	-0.112277	0.081585	-0.073505	0.120357	0.081585	0.142589	0.255362	-0.034732	0.120357	0.093498	0.042812	0.042812	0.159129	0.00404	-0.034732	-0.112277	-0.034732	0.093498	0.081585	0.159129	0.131905	0.131905	0.00404	0.120357	-0.014411	0.086364	0.081585	0.086769	0.32265	0.042812	0.042812	0.120357	0.120357	0.081585	-0.191507	0.197902	0.062265	0.042812	0.081585	-0.158551	-0.122319	0.00404	0.081585	0.081585	0.197902	-0.034732	0.275446	0.120357	0.197902	0.159129	0.236674	0.00404	0.309316	0.142589	-0.034732	0.042812	0.081585	-0.122319	0.041633	0.197902	0.00404	0.00404	-0.034732	0.081585	-0.034732	0.086769	0.159129	0.236674	0.430536	-0.034732	-0.104105	0.197902	0.00404	-0.073505	0.120357	0.314219	0.197902	0.081585	0.00404	0.275446	0.159129	0.081585	0.120357	0.081585														
CNHY RAJ 65	-0.036448	0.152518	-0.064988	0.065516	-0.021487	0.109017	0.022015	0.109017	-0.064988	0.283022	0.065516	0.065516	-0.021487	0.022015	-0.064988	0.018355	0.13571	-0.021487	0.109017	0.199281	-0.021487	-0.064988	0.19602	0.109017	-0.195492	0.065516	0.065516	0.008568	-0.108489	0.19602	0.223459	-0.086595	-0.021487	0.065516	-0.118574	-0.086922	0.109017	-0.03492	0.220911	0.022015	-0.021487	-0.064988	-0.064988	-0.021487	-0.019393	0.065516	-0.085316	0.022015	-0.108489	-0.165684	-0.182145	-0.021487	-0.021487	0.109017	0.022015	-0.15199	0.152518	-0.021487	0.239521	-0.021487	0.109017	-0.021487	-0.118574	0.018355	-0.064988	-0.021487	-0.195492	-0.055003	-0.03492	0.109017	-0.108489	-0.064988	0.022015	-0.064988	-0.064988	-0.086595	-0.021487	0.239521	0.326524	0.065516	-0.176161	0.109017	-0.021487	0.022015	0.022015	0.109017	-0.021487	-0.021487	0.022015	0.19602	-0.064988	-0.064988	0.19602	-0.064988	0.065516													
CNHY RAJ 66	-0.051386	0.00404	-0.073505	-0.073505	-0.034732	0.120357	0.120357	0.042812	0.00404	0.00404	-0.073505	0.042812	-0.112277	0.159129	0.042812	0.062265	0.147453	-0.034732	0.00404	-0.014411	-0.034732	0.042812	0.159129	-0.073505	-0.073505	-0.073505	-0.112277	0.093498	0.042812	0.081585	0.131905	0.177041	-0.034732	0.081585	-0.014411	-0.003846	0.081585	0.086769	0.219819	-0.034732	-0.034732	0.042812	0.081585	0.00404	-0.088675	0.042812	-0.018059	0.081585	-0.034732	-0.044735	-0.068365	0.042812	0.00404	-0.112277	0.159129	0.00404	0.197902	0.120357	0.197902	0.081585	0.159129	0.081585	0.255362	0.142589	-0.073505	0.081585	0.042812	-0.122319	0.177041	0.197902	0.00404	0.042812	0.00404	0.081585	0.042812	-0.003503	0.120357	0.120357	0.391764	-0.034732	-0.104105	0.081585	0.042812	-0.073505	0.236674	0.236674	0.159129	0.120357	0.00404	0.197902	0.120357	0.00404	0.159129	0.120357	-0.189822	0.022015												
CNHY RAJ 67	0.048306	0.042812	-0.073505	-0.073505	0.081585	0.081585	-0.034732	0.042812	-0.073505	0.159129	0.00404	0.042812	-0.112277	-0.034732	0.00404	-0.018059	0.201407	-0.112277	0.081585	0.255362	0.00404	-0.073505	0.159129	0.159129	-0.073505	-0.151049	-0.034732	0.039544	0.042812	-0.073505	0.041633	-0.048639	-0.034732	0.00404	-0.122319	0.086364	0.081585	0.041633	0.219819	-0.073505	-0.073505	-0.034732	0.00404	0.042812	-0.088675	0.120357	-0.018059	-0.034732	0.00404	-0.044735	0.039544	-0.034732	-0.034732	0.042812	0.197902	-0.034732	0.042812	0.042812	0.081585	0.00404	0.081585	0.00404	0.039544	0.062265	0.00404	0.081585	-0.034732	-0.014411	0.086769	0.197902	-0.073505	0.00404	-0.073505	-0.073505	-0.151049	-0.003503	0.120357	0.236674	0.275446	0.00404	-0.038123	0.159129	0.081585	-0.034732	0.00404	0.197902	0.042812	-0.034732	-0.034732	0.236674	0.236674	0.00404	0.081585	0.042812	-0.112277	0.022015	0.00404											
CNHY RAJ 68	0.098153	0.159129	0.081585	0.197902	0.120357	0.236674	0.081585	0.042812	0.00404	0.197902	0.042812	0.042812	0.081585	0.081585	0.00404	-0.098382	0.201407	-0.034732	0.081585	0.309316	0.00404	0.042812	0.314219	0.197902	0.042812	-0.034732	0.120357	0.147453	0.081585	0.042812	0.131905	0.131905	0.042812	0.042812	0.039544	0.131469	0.197902	0.086769	0.219819	0.042812	0.120357	-0.034732	-0.073505	0.081585	-0.03726	0.081585	-0.018059	0.081585	0.120357	0.069081	0.147453	0.081585	0.159129	0.120357	0.236674	0.042812	0.081585	0.042812	0.236674	-0.112277	0.159129	0.042812	0.147453	0.062265	0.120357	0.159129	-0.034732	0.093498	0.131905	0.236674	-0.034732	0.081585	0.081585	0.00404	0.00404	0.041633	0.159129	0.197902	0.314219	0.120357	0.159825	0.159129	0.120357	0.042812	0.081585	0.236674	0.042812	0.081585	0.042812	0.159129	0.197902	0.00404	0.159129	-0.034732	0.120357	-0.021487	0.120357	-0.073505										
CNHY RAJ 69	0.048306	-0.034732	-0.151049	-0.034732	-0.151049	0.00404	-0.073505	0.042812	0.00404	0.042812	0.042812	0.042812	-0.151049	0.120357	0.00404	-0.018059	-0.014411	0.00404	0.081585	-0.014411	0.00404	-0.073505	0.120357	-0.034732	-0.112277	-0.073505	-0.112277	-0.068365	-0.034732	0.042812	0.086769	0.041633	-0.034732	0.042812	-0.014411	-0.094056	0.042812	0.086769	0.116987	-0.034732	-0.112277	-0.112277	0.042812	0.042812	-0.088675	0.081585	0.062265	0.120357	-0.034732	-0.158551	-0.176274	-0.112277	-0.112277	-0.034732	0.042812	0.00404	0.042812	-0.112277	-0.034732	0.00404	0.042812	0.00404	-0.068365	0.062265	-0.034732	0.042812	0.00404	-0.122319	0.177041	0.120357	0.00404	-0.073505	-0.034732	-0.073505	0.042812	0.041633	0.00404	0.236674	0.197902	0.042812	-0.104105	0.00404	0.042812	-0.112277	0.120357	0.042812	0.00404	0.00404	0.042812	0.159129	0.042812	0.00404	0.159129	0.042812	-0.034732	-0.064988	-0.073505	-0.034732	0.081585									
CNHY RAJ 70	0.098153	0.081585	0.042812	-0.034732	0.159129	0.120357	0.00404	0.081585	0.00404	0.236674	0.042812	0.120357	-0.034732	-0.034732	-0.034732	0.062265	0.201407	0.00404	0.159129	0.201407	0.081585	-0.073505	0.159129	0.197902	-0.034732	0.042812	0.042812	0.039544	0.042812	0.042812	-0.003503	0.131905	0.00404	0.120357	-0.014411	0.041259	0.081585	0.131905	0.065572	0.042812	-0.034732	-0.034732	0.042812	-0.034732	0.065572	0.00404	0.062265	0.00404	0.081585	-0.044735	0.039544	-0.034732	0.120357	0.081585	0.120357	-0.034732	0.236674	0.00404	0.197902	0.120357	0.159129	0.081585	0.255362	0.062265	0.081585	0.197902	0.00404	0.093498	0.222177	0.197902	0.00404	-0.034732	0.00404	-0.151049	0.042812	0.086769	0.159129	0.236674	0.275446	-0.034732	-0.038123	0.120357	0.042812	0.00404	0.197902	0.275446	0.081585	0.042812	0.081585	0.197902	0.159129	0.042812	0.042812	0.042812	-0.034732	-0.021487	0.042812	-0.073505	0.081585	-0.112277								
CNHY RAJ 71	0.048306	0.081585	0.00404	-0.112277	0.081585	0.236674	0.120357	0.081585	0.081585	0.197902	0.081585	0.159129	0.00404	0.081585	0.042812	-0.018059	-0.014411	0.042812	0.120357	-0.122319	0.081585	0.081585	0.159129	0.00404	-0.034732	-0.034732	-0.073505	0.039544	0.042812	-0.034732	0.086769	0.267313	-0.073505	0.159129	-0.014411	-0.184266	-0.151049	0.131905	0.065572	0.159129	0.00404	0.00404	0.042812	-0.034732	0.014156	-0.034732	0.142589	0.081585	0.081585	-0.044735	-0.068365	-0.034732	0.159129	0.159129	0.159129	0.042812	0.236674	0.081585	0.159129	0.120357	0.197902	0.081585	0.255362	0.222912	-0.034732	0.197902	0.00404	0.093498	0.312449	0.120357	0.081585	0.00404	-0.112277	-0.073505	0.081585	0.086769	0.197902	0.159129	0.391764	0.00404	-0.170088	-0.073505	0.120357	-0.034732	0.236674	0.275446	0.042812	0.00404	0.042812	0.236674	0.00404	0.042812	0.197902	0.081585	-0.034732	-0.064988	-0.034732	0.042812	0.159129	-0.034732	-0.034732							
CNHY RAJ 72	0.197845	0.00404	0.081585	0.042812	0.042812	0.042812	0.042812	0.159129	0.120357	0.159129	0.081585	0.042812	0.00404	0.197902	0.00404	-0.098382	0.201407	0.00404	0.120357	0.201407	0.00404	0.00404	0.314219	0.081585	-0.073505	-0.073505	-0.034732	0.093498	0.081585	-0.073505	0.131905	0.131905	0.00404	0.042812	0.093498	-0.003846	0.081585	0.086769	-0.088675	0.00404	0.042812	-0.034732	0.042812	0.120357	-0.03726	0.120357	-0.098382	0.159129	0.00404	0.069081	0.093498	0.00404	0.042812	0.042812	0.197902	0.00404	0.159129	0.00404	0.120357	0.00404	0.159129	0.120357	0.201407	0.142589	0.159129	0.120357	0.042812	-0.014411	0.267313	0.159129	0.120357	0.00404	0.081585	-0.112277	0.120357	0.086769	0.042812	0.197902	0.314219	0.081585	0.093843	0.081585	0.081585	0.081585	0.197902	0.159129	0.042812	0.120357	0.081585	0.081585	0.159129	-0.034732	0.197902	0.00404	0.120357	0.065516	0.00404	-0.112277	-0.034732	-0.073505	0.00404	0.120357						
CNHY RAJ 73	-0.051386	0.042812	-0.112277	-0.034732	-0.034732	0.081585	0.00404	0.120357	-0.034732	0.120357	0.00404	-0.073505	-0.151049	-0.034732	0.00404	-0.018059	0.039544	-0.034732	0.042812	0.147453	0.00404	-0.112277	0.159129	0.042812	0.00404	0.00404	-0.073505	-0.068365	0.042812	0.042812	0.131905	-0.093776	-0.034732	-0.073505	-0.122319	-0.048951	0.00404	-0.003503	0.219819	-0.073505	-0.112277	-0.112277	-0.073505	0.042812	-0.140091	0.081585	-0.098382	0.042812	-0.034732	-0.158551	-0.176274	-0.073505	-0.034732	0.00404	0.159129	-0.034732	0.042812	-0.034732	0.081585	0.00404	0.00404	0.00404	-0.014411	-0.018059	0.00404	0.00404	-0.112277	-0.176274	-0.048639	0.00404	-0.073505	-0.034732	-0.151049	0.00404	-0.073505	-0.048639	0.00404	0.236674	0.197902	-0.034732	-0.170088	0.081585	0.120357	-0.112277	-0.034732	0.081585	-0.073505	0.00404	-0.034732	0.275446	0.00404	0.00404	0.120357	-0.073505	-0.034732	-0.064988	-0.073505	-0.112277	-0.034732	-0.112277	0.00404	0.00404	-0.034732					
CNHY RAJ 74	0.098153	0.00404	0.042812	-0.034732	0.120357	0.042812	-0.034732	-0.073505	0.042812	-0.151049	-0.034732	-0.073505	0.042812	0.159129	-0.034732	-0.018059	0.147453	0.042812	0.00404	-0.014411	0.00404	0.00404	0.159129	0.00404	-0.034732	-0.151049	-0.034732	0.093498	0.00404	0.00404	-0.093776	0.222177	-0.112277	0.042812	0.039544	0.086364	0.081585	0.131905	0.065572	0.042812	0.081585	0.00404	-0.073505	0.042812	0.116987	0.00404	0.142589	0.00404	0.042812	0.296714	0.147453	0.00404	0.00404	0.042812	0.197902	0.00404	0.197902	-0.034732	0.042812	0.00404	0.197902	-0.073505	0.201407	0.142589	0.159129	0.236674	0.081585	0.147453	0.312449	0.197902	0.042812	-0.034732	0.042812	0.00404	0.081585	0.086769	0.236674	0.236674	0.314219	0.00404	0.093843	0.081585	0.042812	0.00404	0.159129	0.197902	0.120357	0.081585	0.042812	0.081585	0.236674	-0.073505	0.042812	-0.073505	-0.034732	0.109017	-0.034732	-0.034732	0.00404	-0.034732	-0.073505	0.042812	0.00404	0.042812				
CNHY RAJ 75	-0.051386	0.081585	-0.112277	0.00404	-0.073505	-0.034732	-0.073505	-0.034732	-0.073505	0.236674	-0.073505	0.081585	-0.151049	0.042812	-0.034732	0.062265	0.093498	-0.189822	0.081585	0.147453	-0.073505	-0.151049	0.159129	0.00404	-0.073505	0.00404	-0.073505	-0.014411	-0.034732	0.081585	0.086769	-0.048639	0.042812	0.042812	-0.068365	-0.048951	0.042812	-0.048639	0.168403	-0.112277	-0.073505	-0.151049	-0.034732	-0.034732	-0.03726	0.042812	-0.018059	-0.034732	0.00404	-0.158551	-0.176274	-0.034732	0.00404	-0.034732	0.120357	-0.112277	0.042812	-0.073505	0.197902	0.00404	0.00404	0.00404	0.093498	0.062265	-0.073505	0.00404	-0.112277	-0.122319	0.041633	0.120357	-0.073505	-0.034732	-0.073505	-0.034732	-0.073505	-0.003503	0.00404	0.197902	0.275446	0.00404	-0.170088	0.081585	0.00404	-0.073505	0.042812	0.120357	-0.073505	0.042812	0.00404	0.120357	0.00404	-0.073505	0.081585	-0.034732	-0.073505	-0.15199	-0.073505	-0.073505	-0.034732	-0.112277	-0.151049	-0.034732	-0.073505	-0.189822	0.00404			
CNHY RAJ 76	0.048306	0.197902	-0.112277	0.042812	0.00404	0.159129	0.00404	0.081585	-0.034732	0.197902	0.00404	0.159129	-0.112277	0.120357	0.081585	0.142589	0.093498	-0.073505	0.081585	0.147453	0.042812	0.042812	0.159129	0.042812	0.081585	0.042812	-0.073505	0.039544	0.042812	0.197902	0.312449	0.041633	0.042812	0.159129	0.093498	0.041259	0.081585	0.041633	0.374066	-0.034732	0.00404	0.042812	0.081585	0.00404	-0.088675	0.159129	-0.018059	0.081585	0.042812	-0.044735	-0.122319	0.00404	0.00404	0.00404	0.120357	-0.034732	0.042812	0.042812	0.236674	0.120357	0.042812	0.120357	0.093498	0.222912	-0.112277	-0.073505	-0.073505	-0.122319	0.086769	0.197902	-0.073505	0.081585	0.00404	0.042812	0.042812	-0.003503	0.159129	0.236674	0.430536	0.120357	-0.104105	0.120357	0.159129	-0.073505	0.042812	0.236674	0.00404	0.081585	0.081585	0.120357	0.042812	0.00404	0.275446	0.120357	-0.034732	0.022015	-0.073505	0.042812	0.159129	-0.034732	0.120357	-0.034732	0.159129	-0.073505	0.159129	-0.112277		
CNHY RAJ 77	0.098153	0.081585	0.042812	0.042812	0.081585	0.120357	0.00404	0.081585	-0.034732	0.275446	0.00404	-0.034732	0.00404	-0.073505	-0.112277	-0.018059	0.147453	-0.073505	0.042812	0.255362	-0.112277	0.00404	0.275446	0.159129	0.00404	-0.034732	-0.073505	0.039544	0.081585	0.159129	0.267313	-0.003503	-0.034732	0.00404	-0.014411	-0.003846	0.00404	-0.184048	0.116987	-0.034732	0.042812	0.00404	-0.034732	0.081585	-0.03726	0.197902	-0.178706	0.042812	-0.073505	-0.044735	0.039544	0.00404	0.081585	0.120357	0.159129	-0.034732	0.120357	-0.073505	0.197902	0.042812	0.081585	0.081585	0.093498	0.062265	0.081585	0.042812	-0.034732	-0.068365	0.041633	0.120357	-0.034732	-0.034732	0.081585	-0.112277	0.042812	0.086769	0.120357	0.314219	0.391764	0.120357	-0.038123	0.197902	0.159129	0.00404	0.042812	0.159129	0.042812	0.00404	0.042812	0.236674	0.042812	-0.034732	0.120357	0.00404	0.00404	0.022015	0.042812	-0.034732	0.081585	0.042812	-0.034732	0.120357	0.00404	-0.034732	0.042812	-0.034732	0.042812	
