	030912SERN	043011TKLE	043011TKLF	043011TKLG	043011TKLH	043011TKLI	043011TKLJ	043011TKLL	061912TKLA	062012TKLA	062112TKLB	062112TKLC	062112TKLD	062112TKLE	062112TKLF	062112TKLG	062911TKLC	062911TKLD	062911TKLE	062911TKLG	062911TKLH	062911TKLI	062911TKLJ	062911TKLK	062911TKLL	063011TKLA	063011TKLB	063011TKLC	063011TKLD	070111TKLA	070111TKLC	070111TKLE	070312SERC	070312SERD	070312SERE	070312SERF	070312SERG	070312SERH	071712TKLA	071712TKLB	071712TKLC	071812TKLA	071812TKLC	071812TKLD	071911TKLB	071911TKLC	071911TKLE	071911TKLG	071912TKLA	071912TKLB	072011TKLB	072011TKLD	072011TKLE	072111TKLB	072211TKLB	072211TKLC	072211TKLD	072211TKLE	080311TKLF	080311TKLG	080411TKLD	CNHY RAJ 30	CNHY RAJ 31	CNHY RAJ 32	CNHY RAJ 33	CNHY RAJ 34	CNHY RAJ 35	CNHY RAJ 36	CNHY RAJ 37	CNHY RAJ 38	CNHY RAJ 39	CNHY RAJ 40	CNHY RAJ 41	CNHY RAJ 43	CNHY RAJ 44	CNHY RAJ 45	CNHY RAJ 46	CNHY RAJ 47	CNHY RAJ 48	CNHY RAJ 49	CNHY RAJ 50	CNHY RAJ 51	CNHY RAJ 52	CNHY RAJ 53	CNHY RAJ 54	CNHY RAJ 55	CNHY RAJ 56	CNHY RAJ 57	CNHY RAJ 58	CNHY RAJ 59	CNHY RAJ 60	CNHY RAJ 61	CNHY RAJ 62	CNHY RAJ 63	CNHY RAJ 64	CNHY RAJ 65	CNHY RAJ 66	CNHY RAJ 67	CNHY RAJ 68	CNHY RAJ 69	CNHY RAJ 70	CNHY RAJ 71	CNHY RAJ 72	CNHY RAJ 73	CNHY RAJ 74	CNHY RAJ 75	CNHY RAJ 76	CNHY RAJ 77
071912TKLB	-0.051746	0.41053	-0.158551	-0.158551	-0.044735	0.182898	-0.044735	0.182898	-0.158551	0.638163	-0.044735	0.069081	-0.272368	0.069081	0.069081	0.069081	0.182898	-0.158551	0.069081	0.182898	0.069081	-0.272368	0.296714	0.296714	0.069081	-0.044735	-0.158551	0.069081	0.182898	0.296714	0.524347	0.069081	0.069081	0.182898	-0.044735	0.069081	0.069081	-0.158551	0.41053	-0.044735	-0.044735	-0.044735	0.069081	0.069081	-0.158551	0.296714	-0.044735	-0.044735	0.069081																																																											
072011TKLB	-0.013403	0.201407	-0.068365	-0.014411	-0.014411	0.039544	0.039544	0.147453	0.039544	0.309316	-0.014411	0.147453	-0.176274	0.093498	0.093498	0.062265	0.093498	-0.122319	0.201407	0.093498	0.093498	-0.068365	0.093498	0.039544	0.039544	-0.014411	-0.014411	0.039544	0.093498	0.255362	0.309316	-0.014411	0.039544	0.093498	0.039544	-0.014411	0.039544	0.039544	0.321314	-0.068365	-0.068365	-0.014411	-0.014411	-0.014411	-0.18411	0.201407	0.062265	0.039544	-0.014411	-0.158551																																																										
072011TKLD	-0.00154	-0.151049	-0.034732	-0.073505	-0.112277	0.00404	-0.073505	-0.034732	0.00404	0.081585	0.042812	0.042812	-0.034732	0.00404	-0.151049	-0.018059	0.039544	0.00404	0.042812	0.039544	-0.034732	0.00404	0.197902	0.00404	-0.073505	-0.034732	0.00404	-0.5	-0.112277	0.042812	0.041633	-0.048639	-0.073505	-0.034732	0.039544	-0.003846	0.042812	0.041633	0.116987	0.00404	-0.073505	-0.151049	-0.034732	0.042812	-0.03726	0.042812	-0.178706	-0.073505	0.042812	0.069081	0.039544																																																									
072011TKLE	0.147999	0.081585	-0.189822	0.00404	0.00404	-0.151049	0.00404	-0.073505	0.042812	0.00404	0.042812	0.00404	-0.073505	0.081585	0.081585	0.142589	0.201407	-0.034732	0.120357	0.201407	0.081585	0.00404	0.00404	0.081585	0.00404	0.00404	-0.073505	-0.014411	-0.151049	0.197902	0.312449	0.086769	-0.034732	0.120357	-0.014411	0.086364	0.159129	0.041633	0.32265	-0.034732	-0.073505	0.042812	0.042812	0.081585	-0.03726	0.197902	-0.098382	-0.073505	-0.034732	-0.044735	-0.068365	-0.034732																																																								
072111TKLB	0.048306	0.081585	-0.073505	0.081585	-0.073505	0.00404	0.00404	-0.073505	0.042812	-0.034732	0.00404	0.120357	0.042812	0.159129	0.120357	0.062265	0.147453	0.00404	0.120357	0.255362	-0.112277	0.00404	0.081585	0.042812	-0.034732	0.120357	0.00404	0.039544	-0.073505	0.197902	0.177041	0.131905	0.042812	0.120357	0.093498	0.131469	0.159129	0.041633	0.271234	0.00404	-0.034732	0.042812	0.00404	-0.034732	-0.03726	0.081585	-0.018059	0.042812	0.081585	0.069081	0.039544	0.042812	-0.151049																																																							
072211TKLB	0.147999	0.042812	0.120357	0.120357	0.042812	0.197902	0.081585	0.159129	0.042812	0.275446	0.159129	0.236674	0.159129	0.236674	0.042812	0.303236	0.255362	0.159129	0.120357	0.255362	0.081585	0.120357	0.081585	0.197902	0.042812	0.120357	0.159129	-0.068365	0.042812	0.197902	0.222177	0.222177	0.081585	0.159129	0.201407	0.086364	0.197902	0.177041	0.32265	0.159129	0.159129	0.042812	0.120357	0.081585	0.219819	0.159129	0.142589	0.120357	0.159129	0.41053	0.255362	-0.112277	0.197902	0.081585																																																						
072211TKLC	-0.101232	-0.073505	-0.112277	0.081585	-0.112277	-0.073505	-0.112277	-0.034732	-0.034732	0.159129	-0.151049	0.00404	-0.073505	0.00404	-0.034732	-0.018059	0.147453	-0.073505	0.042812	0.201407	-0.034732	-0.034732	0.120357	0.042812	-0.112277	0.00404	-0.034732	-0.176274	-0.189822	0.120357	0.131905	-0.048639	-0.073505	0.081585	-0.014411	-0.048951	0.00404	-0.048639	0.065572	-0.073505	0.00404	-0.034732	-0.034732	-0.034732	-0.088675	0.120357	-0.25903	-0.228594	-0.112277	-0.044735	-0.068365	-0.151049	-0.112277	0.00404	0.00404																																																					
072211TKLD	0.147999	-0.034732	0.00404	0.159129	-0.034732	0.00404	-0.151049	0.00404	0.042812	0.314219	0.081585	0.159129	0.159129	0.042812	0.00404	0.062265	-0.014411	-0.073505	0.042812	0.309316	-0.073505	0.159129	0.391764	0.042812	-0.034732	0.081585	0.081585	-0.014411	0.042812	0.159129	0.267313	-0.138912	0.081585	-0.034732	-0.014411	0.131469	0.159129	0.086769	0.271234	-0.151049	0.120357	-0.034732	0.042812	0.275446	0.065572	0.197902	-0.018059	0.236674	0.197902	0.182898	0.147453	0.00404	0.042812	0.00404	0.236674	0.120357																																																				
072211TKLE	0.048306	-0.034732	-0.112277	0.042812	-0.073505	-0.112277	-0.228594	0.00404	0.00404	0.081585	0.00404	0.081585	0.00404	0.081585	-0.073505	-0.178706	-0.014411	-0.034732	0.00404	0.201407	-0.189822	0.00404	0.314219	0.00404	-0.034732	0.00404	-0.034732	-0.068365	-0.151049	0.120357	0.177041	-0.093776	0.042812	0.00404	0.093498	-0.048951	-0.073505	-0.003503	-0.088675	-0.034732	0.081585	-0.073505	-0.034732	0.159129	0.014156	0.120357	-0.178706	0.159129	0.00404	0.069081	0.039544	-0.112277	0.00404	0.042812	0.081585	-0.151049	-0.073505																																																			
080311TKLF	-0.00154	-0.189822	0.00404	0.120357	0.042812	0.042812	0.00404	0.042812	0.159129	-0.034732	0.120357	0.00404	0.159129	0.197902	0.081585	0.142589	0.093498	0.159129	0.120357	0.147453	0.120357	0.197902	0.391764	0.081585	0.00404	0.042812	-0.073505	0.093498	-0.073505	0.00404	0.086769	0.041633	0.042812	0.081585	0.147453	0.086364	0.081585	0.267313	0.116987	0.120357	0.159129	0.042812	0.081585	0.197902	0.065572	0.120357	0.383559	0.197902	0.197902	0.41053	0.201407	0.042812	0.042812	0.159129	0.236674	0.081585	0.00404	-0.034732																																																		
