	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC TP1 01	SCOC TP1 03	SCOC TP1 05	SCOC TP1 07	SCOC TP1 08	SCOC TP1 09	SCOC TP1 10	SCOC TP1 11	SCOC TP1 12	SCOC TP1 19	SCOC TP3 03	SCOC TP3 04	SCOC TP3 05	SCOC TP3 07	SCOC TP3 08	SCOC TP3 09	SCOC TP3 10	SCOC TP3 11	SCOC TP3 12	SCOC TP3 13	SCOC TP3 14	SCOC TP3 15	SCOC TP3 16	SCOC TP3 18	SCOC TP3 19	SCOC TP3 23	SCOC TP3 24	SCOC TP3 25	SCOC TP3 26	SCOC TP3 27	SCOC TP3 30	SCOC TP3 31	SCOC TP3 32	SCOC TP3 33	SCOC TP3 34	SCOC TP3 35	SCOC TP3 36	SCOC TP3 37	SCOC TP3 39	SCOC TP3 40	SCOC TP3 41	SCOC TP3 42	SCOC TP3 44	SCOC TP3 45	SCOC TP3 46	SCOC TP3 47	SCOC TP3 48	SCOC TP3 49	SCOC TP3 50	SCOC TP3 52	SCOC TP3 53	SCOC TP3 54	SCOC TP3 55	SCOC TP3 57	SCOC TP3 58	SCOC TP3 60	SCOC TP3 61	SCOC TP3 62	SCOC TP3 63	SCOC TP3 64	SCOC TP3 65	SCOC TP3 66	SCOC TP3 67	SCOC TP3 68	SCOC TP3 70	SCOC TP3 71
SCOC TP3 25	0.188509	0.073758	-0.012306	0.209268	-0.012306	0.241507	0.131134	0.102446	0.131134	0.016382	0.131134	0.073758	-0.012306	0.217197	0.102446	0.102446	0.131134	0.159821	0.073758	0.159821	0.102446	0.073758	0.102446	0.016382	0.131134	0.191043	0.159821	0.113553	0.016382	0.04507	-0.040994	0.217197	0.073758	0.102446	-0.012306	-0.040994	0.217197	0.188509																																							
SCOC TP3 26	0.04507	-0.09837	0.04507	0.112549	0.016382	-0.080888	0.04507	0.073758	0.04507	0.102446	-0.069682	0.04507	0.188509	0.016382	0.04507	0.073758	0.04507	0.131134	-0.069682	-0.012306	0.04507	0.073758	0.102446	0.04507	0.016382	0.191043	0.131134	-0.101191	0.073758	-0.012306	0.016382	0.188509	-0.040994	-0.040994	-0.012306	-0.040994	0.217197	0.131134	0.016382																																						
SCOC TP3 27	-0.021347	0.042474	-0.021347	0.118229	-0.053257	0.081862	-0.085167	-0.021347	-0.085167	-0.021347	0.042474	0.010564	0.106294	0.170115	0.042474	0.042474	-0.021347	0.010564	0.010564	-0.053257	0.106294	0.106294	0.074384	-0.021347	-0.021347	0.10485	0.042474	-0.018521	0.074384	0.106294	-0.117077	0.106294	0.074384	0.042474	-0.085167	-0.085167	0.106294	0.042474	-0.053257	-0.021347																																					
SCOC TP3 30	0.016382	0.04507	0.131134	0.08031	0.073758	0.08031	0.217197	0.102446	0.04507	0.04507	0.073758	0.073758	0.217197	0.159821	0.073758	0.131134	0.016382	0.245885	0.016382	-0.069682	0.04507	0.131134	0.04507	0.073758	0.131134	0.098904	0.274573	-0.070513	0.159821	0.188509	0.102446	0.159821	0.102446	0.073758	0.073758	0.04507	0.331949	0.217197	0.188509	-0.09837	0.074384																																				
SCOC TP3 31	0.113553	0.02152	0.113553	0.125934	0.052197	-0.047937	-0.009158	0.02152	-0.039836	0.082875	0.082875	-0.009158	0.205585	0.02152	0.052197	0.14423	-0.070513	0.052197	0.02152	-0.009158	0.082875	0.174908	0.02152	0.14423	0.02152	-0.037167	0.113553	-0.070513	0.205585	0.174908	0.052197	0.113553	0.052197	0.02152	0.082875	0.113553	0.14423	0.205585	0.236263	0.02152	-0.018521	-0.009158																																			
SCOC TP3 32	0.102446	0.159821	0.04507	0.08031	0.073758	0.241507	0.073758	0.073758	0.159821	0.016382	0.159821	0.073758	0.188509	0.217197	0.274573	-0.012306	0.04507	0.102446	0.073758	0.102446	0.188509	0.04507	0.217197	0.131134	0.159821	0.098904	-0.012306	0.113553	0.217197	0.102446	-0.012306	0.188509	-0.069682	0.131134	0.04507	0.04507	0.159821	0.188509	0.131134	0.159821	-0.085167	0.245885	0.052197																																		
SCOC TP3 33	0.131134	0.073758	0.188509	0.112549	-0.012306	-0.016409	0.102446	0.04507	0.102446	0.04507	0.016382	0.131134	0.274573	0.04507	0.04507	0.159821	0.073758	0.102446	-0.09837	0.102446	0.016382	0.04507	0.159821	0.073758	0.188509	0.237112	0.217197	-0.009158	0.217197	0.131134	0.04507	0.217197	0.073758	0.073758	0.188509	0.073758	0.188509	0.073758	0.217197	-0.069682	0.138205	0.04507	0.02152	0.188509																																	
SCOC TP3 34	-0.012306	0.04507	0.245885	0.273747	-0.09837	0.112549	0.102446	0.016382	-0.040994	0.04507	0.131134	0.016382	0.217197	0.159821	0.102446	0.131134	0.016382	0.016382	0.016382	0.016382	-0.012306	0.131134	0.131134	0.073758	0.073758	0.052834	0.131134	-0.070513	0.188509	0.159821	0.073758	0.131134	-0.040994	0.102446	0.016382	-0.069682	0.102446	0.159821	0.131134	0.073758	0.042474	0.102446	0.082875	0.102446	0.016382																																
SCOC TP3 35	0.02152	0.113553	0.174908	0.230256	0.02152	0.195482	0.052197	0.02152	0.052197	0.052197	0.174908	0.14423	0.174908	0.205585	0.205585	0.113553	0.14423	0.113553	0.02152	0.082875	0.082875	0.113553	0.174908	0.082875	0.082875	0.168537	0.205585	0.082875	0.113553	0.113553	0.02152	0.02152	0.052197	0.174908	0.113553	-0.009158	-0.009158	0.082875	0.14423	0.052197	0.084654	0.174908	0.14423	0.052197	0.082875	0.052197																															
SCOC TP3 36	-0.012306	0.073758	0.102446	0.08031	0.016382	0.112549	0.188509	0.073758	0.131134	0.102446	0.131134	0.073758	0.188509	0.131134	0.102446	0.04507	0.073758	0.102446	-0.012306	0.04507	0.102446	0.04507	0.131134	0.073758	0.159821	0.237112	0.159821	0.052197	0.188509	0.016382	0.073758	0.188509	0.073758	0.04507	0.102446	0.016382	0.102446	0.102446	0.131134	-0.069682	0.010564	0.016382	0.113553	0.04507	0.016382	0.188509	0.082875																														
SCOC TP3 37	0.02152	0.052197	-0.070513	-0.013163	0.052197	0.230256	0.02152	-0.009158	0.052197	0.02152	0.236263	0.174908	-0.039836	0.205585	0.14423	0.14423	-0.039836	0.14423	-0.009158	-0.009158	0.113553	0.02152	0.113553	0.052197	0.174908	-0.037167	0.113553	0.113553	0.236263	0.236263	-0.039836	0.02152	0.205585	0.082875	0.113553	0.082875	0.02152	0.082875	0.205585	0.14423	-0.052912	0.082875	-0.162546	-0.009158	0.174908	0.205585	0.082875	0.113553																													
SCOC TP3 39	0.159821	0.04507	-0.012306	0.04807	0.073758	0.209268	0.188509	0.073758	0.131134	-0.012306	0.188509	0.102446	0.102446	0.131134	0.016382	0.016382	-0.012306	0.131134	-0.012306	0.04507	0.04507	-0.012306	0.102446	0.131134	0.188509	-0.039305	0.188509	0.082875	0.159821	0.131134	0.016382	0.102446	0.102446	0.04507	0.073758	0.04507	0.245885	0.131134	0.073758	0.102446	-0.021347	0.073758	0.052197	0.04507	0.073758	0.102446	0.205585	0.04507	0.02152																												
SCOC TP3 40	0.217197	0.159821	0.159821	0.241507	0.016382	0.08031	0.303261	0.159821	0.131134	0.131134	0.102446	0.102446	0.131134	-0.069682	0.102446	0.159821	-0.012306	0.217197	0.016382	0.188509	0.217197	0.188509	0.102446	0.245885	0.102446	0.237112	0.159821	0.082875	0.303261	0.04507	0.188509	0.217197	0.159821	0.102446	0.131134	0.217197	0.331949	0.331949	0.131134	0.131134	0.170115	0.274573	0.082875	0.102446	0.217197	0.245885	0.236263	0.188509	0.236263	0.131134																											
SCOC TP3 41	0.159821	0.073758	0.04507	0.177028	0.016382	0.112549	0.102446	0.131134	0.159821	-0.012306	0.188509	0.131134	0.188509	0.102446	0.245885	0.073758	0.016382	0.245885	0.159821	0.102446	0.131134	0.188509	0.04507	0.245885	0.188509	0.098904	0.073758	0.02152	0.274573	0.217197	-0.012306	0.159821	0.04507	0.073758	0.131134	0.217197	0.360637	0.217197	0.245885	0.102446	-0.021347	0.131134	0.02152	-0.069682	0.04507	0.102446	0.174908	0.188509	0.052197	0.016382	0.188509																										
