	052912TKLA	060512TKLC	060712TKLA	060712TKLF	060712TKLH	060712TKLJ	060812TKLA	061212TKLA	061412TKLA	061412TKLB	061512TKLB	061512TKLD	062612TKLC	062612TKLD	062712TKLA	062712TKLB	062712TKLC	062712TKLD	062712TKLE	062712TKLG	062712TKLH	062712TKLI	062812TKLC	071012TKLA	071112TKLA	071112TKLE	071212TKLA	072412TKLA	072512TKLB	CNHY TP1 02	CNHY TP1 03	CNHY TP1 04	CNHY TP1 05	CNHY TP1 06	CNHY TP1 07	CNHY TP1 08	CNHY TP1 09	CNHY TP1 10	CNHY TP1 11	CNHY TP1 12	CNHY TP1 13	CNHY TP1 14	CNHY TP1 15	CNHY TP1 16	CNHY TP1 17	CNHY TP3 01	CNHY TP3 02	CNHY TP3 05	CNHY TP3 07	CNHY TP3 10	CNHY TP3 12	CNHY TP3 13	CNHY TP3 15	CNHY TP3 16	CNHY TP3 17	CNHY TP3 18	CNHY TP3 20	CNHY TP3 21	CNHY TP3 23	CNHY TP3 25	CNHY TP3 26	CNHY TP3 28	CNHY TP3 30	CNHY TP3 31
CNHY TP1 13	0.236266	0.236266	0.236266	0.052199	-0.009156	0.236266	0.17491	-0.070512	0.113555	0.17491	0.052199	0.297621	0.358977	0.481688	0.297621	0.052199	-0.009156	0.358977	-0.009156	0.17491	0.052199	0.604399	0.062121	-0.009156	0.17491	0.17491	-0.009156	0.20693	0.052199	-0.009156	0.113555	-0.009156	0.00651	0.052199	0.052199	-0.009156	0.113555	0.17491	0.113555	0.113555																								
CNHY TP1 14	0.436897	0.436897	0.249518	0.436897	0.155828	0.624277	0.155828	0.155828	0.062138	0.343208	0.155828	0.436897	0.249518	0.249518	0.343208	0.062138	0.249518	0.811657	0.343208	0.155828	-0.031552	0.811657	-0.035255	0.249518	0.530587	0.436897	0.155828	0.313305	0.062138	0.155828	0.436897	0.249518	0.078313	0.530587	0.530587	0.624277	0.062138	0.249518	0.530587	0.343208	0.343208																							
CNHY TP1 15	0.215787	0.126314	0.17105	0.03684	0.126314	0.081577	0.297621	0.126314	0.215787	0.305261	0.126314	0.081577	0.17105	0.394734	0.260524	0.305261	0.17105	0.17105	0.17105	0.215787	0.17105	0.439471	0.080322	0.081577	0.126314	0.215787	0.126314	0.295296	0.081577	0.126314	-0.007897	0.215787	0.133137	0.03684	0.126314	0.126314	0.081577	0.215787	-0.052633	0.126314	0.113555	0.624277																						
CNHY TP1 16	0.17491	0.236266	0.236266	-0.009156	-0.009156	0.113555	0.17491	-0.009156	0.236266	0.420332	-0.009156	0.297621	0.358977	0.604399	0.358977	0.113555	0.052199	0.236266	0.17491	0.297621	0.113555	0.420332	0.062121	-0.009156	0.052199	0.236266	-0.009156	-0.058169	0.113555	0.113555	-0.009156	0.17491	-0.120118	-0.193223	-0.070512	0.052199	0.236266	0.236266	-0.009156	0.113555	-0.070512	0.530587	-0.009156																					
CNHY TP1 17	0.126314	0.126314	0.126314	-0.007897	-0.09737	0.17105	0.113555	-0.142107	0.03684	0.126314	-0.052633	0.215787	0.260524	0.394734	0.126314	-0.052633	0.081577	0.215787	0.126314	0.081577	-0.007897	0.439471	0.138355	-0.142107	0.17105	0.17105	-0.052633	-0.058169	-0.007897	0.081577	0.03684	0.126314	-0.246745	-0.007897	-0.007897	0.126314	0.215787	0.126314	0.081577	0.081577	-0.131867	0.155828	0.126314	-0.193223																				
CNHY TP3 01	-0.007897	0.03684	-0.09737	0.305261	-0.007897	0.17105	-0.131867	0.260524	-0.052633	0.03684	0.126314	-0.052633	0.17105	0.03684	-0.007897	0.126314	0.081577	0.17105	0.126314	-0.052633	0.081577	0.215787	0.196387	0.17105	0.17105	-0.142107	0.17105	0.648761	0.03684	0.260524	0.260524	0.305261	0.639647	0.215787	0.126314	0.484207	0.305261	0.17105	0.349997	0.126314	0.297621	0.343208	0.215787	0.358977	0.17105																			
CNHY TP3 02	0.215787	0.215787	0.126314	-0.007897	0.03684	0.126314	0.236266	-0.007897	0.215787	0.260524	-0.007897	0.260524	0.17105	0.484207	0.17105	0.126314	0.126314	0.215787	0.17105	0.17105	-0.007897	0.439471	0.080322	-0.007897	0.126314	0.305261	0.03684	0.118564	-0.052633	0.03684	-0.007897	0.17105	-0.120118	-0.052633	0.17105	-0.052633	0.081577	0.305261	0.03684	0.03684	-0.009156	0.436897	0.03684	-0.009156	0.081577	0.349997																		
CNHY TP3 05	0.03684	0.17105	0.081577	0.081577	-0.09737	0.081577	-0.070512	-0.007897	0.081577	0.215787	-0.142107	0.126314	0.215787	0.260524	0.126314	-0.052633	-0.007897	0.126314	0.03684	0.03684	-0.142107	0.394734	0.080322	-0.09737	0.03684	0.17105	-0.052633	-0.058169	-0.052633	-0.007897	0.126314	0.03684	-0.120118	0.081577	0.126314	0.126314	0.126314	0.17105	0.03684	0.03684	-0.070512	0.062138	0.126314	-0.131867	-0.09737	0.215787	-0.007897																	
CNHY TP3 07	0.260524	0.260524	0.126314	0.17105	0.081577	0.260524	-0.009156	-0.007897	0.081577	0.17105	-0.007897	0.260524	0.349997	0.305261	0.126314	0.081577	0.17105	0.305261	0.215787	0.081577	-0.052633	0.439471	-0.035742	0.126314	0.215787	0.260524	0.03684	-0.058169	-0.007897	-0.007897	0.215787	0.03684	-0.246745	0.394734	0.260524	0.215787	0.305261	0.17105	0.305261	0.215787	0.113555	0.062138	0.349997	0.17491	0.081577	0.17105	0.260524	0.03684																
CNHY TP3 10	0.260524	0.349997	0.126314	0.260524	0.17105	0.17105	0.052199	0.260524	0.305261	0.394734	-0.007897	0.17105	0.305261	0.394734	0.349997	0.081577	0.081577	0.349997	0.349997	0.215787	0.17105	0.484207	0.370484	0.126314	0.126314	0.260524	0.126314	0.118564	0.081577	0.126314	0.305261	0.260524	0.259765	0.03684	0.215787	0.215787	0.17105	0.17105	0.03684	0.260524	0.113555	0.343208	0.215787	0.052199	0.17105	0.349997	0.126314	-0.186843	0.260524															
CNHY TP3 12	0.081577	0.215787	0.215787	-0.142107	0.081577	0.081577	0.297621	0.081577	0.305261	0.17105	0.17105	0.215787	0.349997	0.528944	0.17105	0.17105	0.215787	0.17105	0.126314	0.305261	0.081577	0.528944	0.02229	0.081577	0.17105	0.260524	0.17105	0.030197	0.081577	-0.007897	0.081577	0.349997	-0.246745	0.126314	-0.007897	-0.052633	0.305261	0.394734	0.215787	0.215787	0.113555	0.530587	0.126314	0.052199	0.03684	0.394734	-0.007897	0.17105	0.215787	0.260524														
CNHY TP3 13	0.03684	0.17105	-0.052633	0.215787	0.03684	0.03684	-0.070512	0.305261	0.215787	0.215787	0.081577	0.03684	0.305261	0.17105	0.081577	0.215787	-0.007897	0.081577	0.126314	0.126314	0.03684	0.03684	0.080322	0.215787	-0.007897	-0.007897	0.081577	0.648761	0.03684	0.126314	0.215787	0.349997	0.639647	0.215787	0.081577	0.17105	0.215787	0.349997	0.17105	0.215787	0.17491	0.249518	0.215787	0.113555	0.215787	0.081577	0.305261	0.03684	-0.007897	0.215787	0.305261													
CNHY TP3 15	0.081577	0.17105	0.03684	-0.007897	-0.052633	0.081577	-0.070512	-0.052633	0.126314	0.126314	-0.142107	0.03684	0.215787	0.305261	0.081577	-0.142107	0.081577	0.215787	0.17105	-0.007897	-0.09737	0.394734	0.138355	-0.142107	0.081577	0.081577	-0.142107	-0.234902	-0.09737	0.081577	0.081577	0.17105	-0.246745	-0.007897	0.03684	0.081577	0.17105	0.126314	-0.007897	0.081577	-0.009156	0.155828	0.081577	-0.070512	-0.09737	0.215787	-0.007897	-0.142107	0.03684	-0.186843	-0.007897	0.215787												
