"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
768,25,24,639.736796
769,25,26,103.383047
770,25,27,176.844652
771,25,28,365.840820
772,25,29,432.637505
773,25,31,390.304476
774,25,30,562.956867
775,25,32,355.947418
776,26,1,2608.834857
777,26,2,1829.353368
778,26,5,1328.894313
779,26,3,1348.967681
780,26,4,1401.630022
781,26,6,1252.449312
782,26,10,1170.652470
783,26,8,1161.421448
784,26,7,1242.398740
785,26,9,1361.683722
786,26,12,1142.438636
787,26,11,1204.907642
788,26,13,1248.709411
789,26,14,517.149060
790,26,15,1076.610048
791,26,19,411.372954
792,26,20,384.649359
793,26,18,407.076288
794,26,17,437.881454
795,26,16,436.636571
796,26,21,835.820954
797,26,22,306.976890
798,26,23,789.332588
799,26,24,729.837844
800,26,25,103.383047
801,26,27,73.464768
802,26,28,412.518096
803,26,29,482.135904
804,26,31,411.822805
805,26,30,607.587621
806,26,32,287.161320
807,27,1,2682.215768
808,27,2,1902.721213
809,27,5,1399.041263
810,27,3,1418.458967
811,27,4,1472.727109
812,27,6,1322.578560
813,27,10,1240.608517
814,27,8,1230.000498
815,27,7,1313.644974
816,27,9,1434.795099
817,27,12,1215.028359
818,27,11,1278.050885
819,27,13,1320.867729
820,27,14,558.327137
821,27,15,1146.657603
822,27,19,450.053319
823,27,20,432.353324
824,27,18,461.473611
825,27,17,485.691413
826,27,16,493.311763
827,27,21,905.490943
828,27,22,362.530127
829,27,23,856.962971
830,27,24,796.200072
831,27,26,73.464768
832,27,25,176.844652
833,27,28,457.812415
834,27,29,527.571751
835,27,31,442.207917
836,27,30,648.238495
837,27,32,253.856114
838,28,1,2383.924994
839,28,2,1654.100035
840,28,5,1275.376754
841,28,3,1306.564665
842,28,4,1324.625662
843,28,6,1203.482844
844,28,10,1130.113112
845,28,8,1145.318929
846,28,7,1170.237878
847,28,9,1220.822021
848,28,12,1037.655989
849,28,11,1070.381377
850,28,13,998.688213
851,28,14,786.373565
852,28,15,791.653868
853,28,19,707.454325
854,28,20,650.802971
855,28,18,634.464068
856,28,17,691.647567
857,28,16,642.709971
858,28,21,561.211209
859,28,22,559.321428
860,28,23,489.894603
861,28,24,421.200097
862,28,26,412.518096
863,28,25,365.840820
864,28,27,457.812415
865,28,29,69.831078
866,28,31,102.553589
867,28,30,197.308274
868,28,32,404.150769
869,29,1,2345.778724
870,29,2,1627.326643
871,29,5,1273.430459
872,29,3,1306.259552
873,29,4,1318.026541
874,29,6,1203.118376
875,29,10,1132.132106
876,29,8,1151.390466
877,29,7,1166.135628
878,29,9,1203.536368
879,29,12,1029.354942
880,29,11,1056.028597
881,29,13,962.195456
882,29,14,840.020886
883,29,15,750.153179
884,29,19,765.296355
885,29,20,706.634207
886,29,18,686.562741
887,29,17,745.263388
888,29,16,692.155915
889,29,21,527.214852
890,29,22,616.231449
891,29,23,451.724962
892,29,24,383.227786
893,29,26,482.135904
894,29,25,432.637505
895,29,27,527.571751
896,29,28,69.831078
897,29,31,135.878980
898,29,30,131.272561
899,29,32,462.272741
900,30,1,2328.932081
901,30,2,1637.217633
902,30,5,1331.041179
903,30,3,1366.358080
904,30,4,1367.498401
905,30,6,1263.806129
906,30,10,1197.179606
907,30,8,1222.614083
908,30,7,1220.937899
909,30,9,1234.680377
910,30,12,1078.286459
911,30,11,1093.973882
912,30,13,956.692769
913,30,14,967.509261
914,30,15,736.665476
915,30,19,895.142835
916,30,20,835.585030
917,30,18,813.373691
918,30,17,872.895655
919,30,16,817.133864
920,30,21,537.872636
921,30,22,745.839890
922,30,23,456.899653
923,30,24,393.613099
924,30,26,607.587621
925,30,25,562.956867
926,30,27,648.238495
927,30,28,197.308274
928,30,29,131.272561
929,30,31,217.606836
930,30,32,548.824283
931,31,1,2479.664028
932,31,2,1754.783499
933,31,5,1376.706388
934,31,3,1407.496749
935,31,4,1426.749426
936,31,6,1304.479067
937,31,10,1230.519645
938,31,8,1244.389380
939,31,7,1272.027224
940,31,9,1323.194021
941,31,12,1140.022388
942,31,11,1172.910072
943,31,13,1095.131651
944,31,14,840.934733
945,31,15,884.866806
946,31,19,753.852694
947,31,20,702.359233
948,31,18,693.488454
