	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC_TP1_01	SCOC_TP1_03	SCOC_TP1_05	SCOC_TP1_07	SCOC_TP1_08	SCOC_TP1_09	SCOC_TP1_10	SCOC_TP1_11	SCOC_TP1_12	SCOC_TP1_19	SCOC_TP3_03	SCOC_TP3_04	SCOC_TP3_05	SCOC_TP3_07	SCOC_TP3_08	SCOC_TP3_09	SCOC_TP3_10	SCOC_TP3_11	SCOC_TP3_12	SCOC_TP3_13	SCOC_TP3_14	SCOC_TP3_15	SCOC_TP3_16	SCOC_TP3_18	SCOC_TP3_19	SCOC_TP3_23	SCOC_TP3_24	SCOC_TP3_25	SCOC_TP3_26	SCOC_TP3_27	SCOC_TP3_30	SCOC_TP3_31	SCOC_TP3_32	SCOC_TP3_33	SCOC_TP3_34	SCOC_TP3_35	SCOC_TP3_36	SCOC_TP3_37	SCOC_TP3_39	SCOC_TP3_40	SCOC_TP3_41	SCOC_TP3_42	SCOC_TP3_44	SCOC_TP3_45	SCOC_TP3_46	SCOC_TP3_47	SCOC_TP3_48	SCOC_TP3_49	SCOC_TP3_50	SCOC_TP3_52	SCOC_TP3_53	SCOC_TP3_54	SCOC_TP3_55	SCOC_TP3_57	SCOC_TP3_58	SCOC_TP3_60	SCOC_TP3_61	SCOC_TP3_62	SCOC_TP3_63	SCOC_TP3_64	SCOC_TP3_65	SCOC_TP3_66	SCOC_TP3_67	SCOC_TP3_68	SCOC_TP3_70	SCOC_TP3_71
SCOC_TP3_25	0.188509	0.073758	-0.012306	0.209268	-0.012306	0.241507	0.131134	0.102446	0.131134	0.016382	0.131134	0.073758	-0.012306	0.217197	0.102446	0.102446	0.131134	0.159821	0.073758	0.159821	0.102446	0.073758	0.102446	0.016382	0.131134	0.191043	0.159821	0.113553	0.016382	0.04507	-0.040994	0.217197	0.073758	0.102446	-0.012306	-0.040994	0.217197	0.188509																																							
SCOC_TP3_26	0.04507	-0.09837	0.04507	0.112549	0.016382	-0.080888	0.04507	0.073758	0.04507	0.102446	-0.069682	0.04507	0.188509	0.016382	0.04507	0.073758	0.04507	0.131134	-0.069682	-0.012306	0.04507	0.073758	0.102446	0.04507	0.016382	0.191043	0.131134	-0.101191	0.073758	-0.012306	0.016382	0.188509	-0.040994	-0.040994	-0.012306	-0.040994	0.217197	0.131134	0.016382																																						
SCOC_TP3_27	-0.021347	0.042474	-0.021347	0.118229	-0.053257	0.081862	-0.085167	-0.021347	-0.085167	-0.021347	0.042474	0.010564	0.106294	0.170115	0.042474	0.042474	-0.021347	0.010564	0.010564	-0.053257	0.106294	0.106294	0.074384	-0.021347	-0.021347	0.10485	0.042474	-0.018521	0.074384	0.106294	-0.117077	0.106294	0.074384	0.042474	-0.085167	-0.085167	0.106294	0.042474	-0.053257	-0.021347																																					
SCOC_TP3_30	0.016382	0.04507	0.131134	0.08031	0.073758	0.08031	0.217197	0.102446	0.04507	0.04507	0.073758	0.073758	0.217197	0.159821	0.073758	0.131134	0.016382	0.245885	0.016382	-0.069682	0.04507	0.131134	0.04507	0.073758	0.131134	0.098904	0.274573	-0.070513	0.159821	0.188509	0.102446	0.159821	0.102446	0.073758	0.073758	0.04507	0.331949	0.217197	0.188509	-0.09837	0.074384																																				
SCOC_TP3_31	0.113553	0.02152	0.113553	0.125934	0.052197	-0.047937	-0.009158	0.02152	-0.039836	0.082875	0.082875	-0.009158	0.205585	0.02152	0.052197	0.14423	-0.070513	0.052197	0.02152	-0.009158	0.082875	0.174908	0.02152	0.14423	0.02152	-0.037167	0.113553	-0.070513	0.205585	0.174908	0.052197	0.113553	0.052197	0.02152	0.082875	0.113553	0.14423	0.205585	0.236263	0.02152	-0.018521	-0.009158																																			
SCOC_TP3_32	0.102446	0.159821	0.04507	0.08031	0.073758	0.241507	0.073758	0.073758	0.159821	0.016382	0.159821	0.073758	0.188509	0.217197	0.274573	-0.012306	0.04507	0.102446	0.073758	0.102446	0.188509	0.04507	0.217197	0.131134	0.159821	0.098904	-0.012306	0.113553	0.217197	0.102446	-0.012306	0.188509	-0.069682	0.131134	0.04507	0.04507	0.159821	0.188509	0.131134	0.159821	-0.085167	0.245885	0.052197																																		
SCOC_TP3_33	0.131134	0.073758	0.188509	0.112549	-0.012306	-0.016409	0.102446	0.04507	0.102446	0.04507	0.016382	0.131134	0.274573	0.04507	0.04507	0.159821	0.073758	0.102446	-0.09837	0.102446	0.016382	0.04507	0.159821	0.073758	0.188509	0.237112	0.217197	-0.009158	0.217197	0.131134	0.04507	0.217197	0.073758	0.073758	0.188509	0.073758	0.188509	0.073758	0.217197	-0.069682	0.138205	0.04507	0.02152	0.188509																																	
SCOC_TP3_34	-0.012306	0.04507	0.245885	0.273747	-0.09837	0.112549	0.102446	0.016382	-0.040994	0.04507	0.131134	0.016382	0.217197	0.159821	0.102446	0.131134	0.016382	0.016382	0.016382	0.016382	-0.012306	0.131134	0.131134	0.073758	0.073758	0.052834	0.131134	-0.070513	0.188509	0.159821	0.073758	0.131134	-0.040994	0.102446	0.016382	-0.069682	0.102446	0.159821	0.131134	0.073758	0.042474	0.102446	0.082875	0.102446	0.016382																																
SCOC_TP3_35	0.02152	0.113553	0.174908	0.230256	0.02152	0.195482	0.052197	0.02152	0.052197	0.052197	0.174908	0.14423	0.174908	0.205585	0.205585	0.113553	0.14423	0.113553	0.02152	0.082875	0.082875	0.113553	0.174908	0.082875	0.082875	0.168537	0.205585	0.082875	0.113553	0.113553	0.02152	0.02152	0.052197	0.174908	0.113553	-0.009158	-0.009158	0.082875	0.14423	0.052197	0.084654	0.174908	0.14423	0.052197	0.082875	0.052197																															
SCOC_TP3_36	-0.012306	0.073758	0.102446	0.08031	0.016382	0.112549	0.188509	0.073758	0.131134	0.102446	0.131134	0.073758	0.188509	0.131134	0.102446	0.04507	0.073758	0.102446	-0.012306	0.04507	0.102446	0.04507	0.131134	0.073758	0.159821	0.237112	0.159821	0.052197	0.188509	0.016382	0.073758	0.188509	0.073758	0.04507	0.102446	0.016382	0.102446	0.102446	0.131134	-0.069682	0.010564	0.016382	0.113553	0.04507	0.016382	0.188509	0.082875																														
SCOC_TP3_37	0.02152	0.052197	-0.070513	-0.013163	0.052197	0.230256	0.02152	-0.009158	0.052197	0.02152	0.236263	0.174908	-0.039836	0.205585	0.14423	0.14423	-0.039836	0.14423	-0.009158	-0.009158	0.113553	0.02152	0.113553	0.052197	0.174908	-0.037167	0.113553	0.113553	0.236263	0.236263	-0.039836	0.02152	0.205585	0.082875	0.113553	0.082875	0.02152	0.082875	0.205585	0.14423	-0.052912	0.082875	-0.162546	-0.009158	0.174908	0.205585	0.082875	0.113553																													
SCOC_TP3_39	0.159821	0.04507	-0.012306	0.04807	0.073758	0.209268	0.188509	0.073758	0.131134	-0.012306	0.188509	0.102446	0.102446	0.131134	0.016382	0.016382	-0.012306	0.131134	-0.012306	0.04507	0.04507	-0.012306	0.102446	0.131134	0.188509	-0.039305	0.188509	0.082875	0.159821	0.131134	0.016382	0.102446	0.102446	0.04507	0.073758	0.04507	0.245885	0.131134	0.073758	0.102446	-0.021347	0.073758	0.052197	0.04507	0.073758	0.102446	0.205585	0.04507	0.02152																												
SCOC_TP3_40	0.217197	0.159821	0.159821	0.241507	0.016382	0.08031	0.303261	0.159821	0.131134	0.131134	0.102446	0.102446	0.131134	-0.069682	0.102446	0.159821	-0.012306	0.217197	0.016382	0.188509	0.217197	0.188509	0.102446	0.245885	0.102446	0.237112	0.159821	0.082875	0.303261	0.04507	0.188509	0.217197	0.159821	0.102446	0.131134	0.217197	0.331949	0.331949	0.131134	0.131134	0.170115	0.274573	0.082875	0.102446	0.217197	0.245885	0.236263	0.188509	0.236263	0.131134																											
SCOC_TP3_41	0.159821	0.073758	0.04507	0.177028	0.016382	0.112549	0.102446	0.131134	0.159821	-0.012306	0.188509	0.131134	0.188509	0.102446	0.245885	0.073758	0.016382	0.245885	0.159821	0.102446	0.131134	0.188509	0.04507	0.245885	0.188509	0.098904	0.073758	0.02152	0.274573	0.217197	-0.012306	0.159821	0.04507	0.073758	0.131134	0.217197	0.360637	0.217197	0.245885	0.102446	-0.021347	0.131134	0.02152	-0.069682	0.04507	0.102446	0.174908	0.188509	0.052197	0.016382	0.188509																										
